File,Reading.level,Lexical.density,Mean.frequency.Zipf-value,Sd.frequency.Zipf-value,Mean.frequency.Lg10WF,Sd.frequency.Lg10WF,TTR
A23L4,Level4,0.5607763023493361,5.4389056481641225,1.4023283127009878,4.147069094922729,1.4023265818007618,0.46782431052093976
A27L4,Level4,0.5906932573599241,5.4754322848888375,1.4181269793539868,4.183593266331653,1.4181239308824856,0.45014245014245013
A8L4,Level4,0.5651731160896131,5.535532477221784,1.45681282686904,4.243694692144366,1.4568111111975215,0.4592668024439919
A22L4,Level4,0.5684326710816777,5.501808241507535,1.4139374817601944,4.20997022016222,1.4139338057118211,0.4083885209713024
A10L4,Level4,0.5554171855541719,5.598438757860274,1.410221147195099,4.306601342281875,1.410215578483253,0.48941469489414696
A21L4,Level4,0.5692771084337349,5.466750853607427,1.4196582169315153,4.174913085106372,1.419653906943165,0.45180722891566266
A3L4,Level4,0.5278080697928026,5.633948499362397,1.4184101394680804,4.3421103818615725,1.41840666968967,0.4721919302071974
A28L4,Level4,0.5745375408052231,5.440419211906023,1.4632795589677268,4.148579058823518,1.463275558065553,0.544069640914037
A24L4,Level4,0.5404040404040404,5.669696982536571,1.398254381692316,4.377861581137304,1.3982505164783228,0.4861111111111111
A14L4,Level4,0.5189309576837416,5.580009787062794,1.4543408966779818,4.2881729508196695,1.454334623947852,0.4376391982182628
A2L4,Level4,0.5273088381330685,5.690984046739218,1.340549192488682,4.399148533872603,1.340544122352595,0.4001986097318769
A29L4,Level4,0.5715715715715716,5.3060534599589095,1.6013209584686696,4.0142155136268265,1.6013154862583499,0.4194194194194194
A6L4,Level4,0.5832414553472988,5.4962741923035665,1.5028283186241749,4.204434798534792,1.5028219951174664,0.47739801543550164
A18L4,Level4,0.5358565737051793,5.493751478103939,1.5154613754714745,4.201912513255567,1.5154554229163586,0.46613545816733065
A12L4,Level4,0.5846501128668171,5.464656455677829,1.421015538824724,4.172817777777778,1.4210148657690327,0.4616252821670429
A5L4,Level4,0.5920303605313093,5.357701384775131,1.4665273400532348,4.065862896825389,1.4665219341914475,0.49240986717267554
A16L4,Level4,0.5753968253968254,5.508642973828091,1.4610858909468492,4.216806407563016,1.4610801322328566,0.4623015873015873
A17L4,Level4,0.49500554938956715,5.849347736846242,1.3538313147472998,4.557504929577455,1.3538291264202342,0.4039955604883463
A1L4,Level4,0.5682574916759157,5.515172134073351,1.4834996472109898,4.223335967926687,1.4834944886744221,0.4506104328523862
A13L4,Level4,0.5289855072463768,5.674101104695472,1.3884237462561113,4.382261802030451,1.3884187243542063,0.43719806763285024
A26L4,Level4,0.5509518477043673,5.587129753930319,1.4423090488090797,4.295291340450771,1.4423057487463906,0.47816349384098544
A30L4,Level4,0.5314465408805031,5.713517285186556,1.391879702847026,4.421678953107958,1.3918740228830544,0.4276729559748428
A4L4,Level4,0.550561797752809,5.442905734346873,1.4586485410575658,4.151070011148268,1.458641816901883,0.43615934627170583
A11L4,Level4,0.5666666666666667,5.531945541890127,1.4208491048260068,4.240106590909084,1.4208435097127774,0.44516129032258067
A25L4,Level4,0.5537459283387622,5.594920767786023,1.4056183375041997,4.303081922196793,1.4056113342405518,0.4538545059717698
A20L4,Level4,0.5764294049008168,5.556740762125505,1.4157789019898699,4.264902295918358,1.415773915520122,0.5227537922987164
A19L4,Level4,0.5402298850574713,5.664794629888108,1.358874896580663,4.372956497797346,1.3588720881492748,0.47648902821316613
A9L4,Level4,0.575076608784474,5.59824266573891,1.4288721533859228,4.306404666666662,1.4288651968453847,0.4514811031664964
A7L4,Level4,0.5667752442996743,5.477458321838891,1.442328023725845,4.185619674039575,1.4423249164481322,0.44625407166123776
A15L4,Level4,0.5856854838709677,5.569223088272564,1.343682991899599,4.277386631016041,1.3436784139242057,0.4657258064516129
A23L1,Level1,0.5318559556786704,5.781576638739673,1.2724632588291291,4.489736936936938,1.2724592913076087,0.4626038781163435
A14L1,Level1,0.5527426160337553,5.780088764533076,1.163045890960184,4.488251801801808,1.1630374177210618,0.48523206751054854
A4L1,Level1,0.572538860103627,5.701616219501048,1.241905478153248,4.409779558011051,1.2418992409915932,0.47150259067357514
A5L1,Level1,0.5754527162977867,5.699080306311339,1.2716883046811558,4.407240124740127,1.2716819262741994,0.48490945674044267
A18L1,Level1,0.5477386934673367,5.690217252131819,1.4164779857492396,4.398374151436032,1.4164703074510947,0.4547738693467337
A27L1,Level1,0.5622641509433962,5.708705472162937,1.180973174561347,4.416866071428574,1.1809733944137513,0.41132075471698115
A12L1,Level1,0.5945945945945946,5.677703643716344,1.2686123639591451,4.385863829787233,1.2686166884594474,0.47635135135135137
A29L1,Level1,0.561014263074485,5.6246431594231066,1.43069561282245,4.332804248366009,1.4306887429820914,0.3676703645007924
