sent_id	sentence
1	how are you doing ?
2	I 've known that you are intending to ask for dismissal because you have claustrophobia .
3	I would want to help you if you let me do so .
4	I have read about claustrophobia and I will enclose this leaflet to you in this email .
5	I think it will be very helpful .
6	Making a briffing of the informations you 'll find , claustrophobics persons have feelings of anxiety , panic and they think every situation is dangerous but all that symptoms are purely irrational and the best thing to do is look for a specialized doctor to help you .
7	I have scheduled to you an evaluation with a psychiatrist that 's a friend of mine .
8	He is specialist in cognitive behavioral therapy , treating pacients with phobia for many years .
9	I hope you accept this kind of help and I will be very satisfied if you be ok and keeping with us .
10	I 'm very sad with your decision .
11	But I wanna help you with your problem , and I hope change your mind .
12	Nowadays , psichological disturbances , like phobias , are very common in our modern society .
13	However it 's possible to get cured with specialized treatment .
14	Claustrophobia is a disease characterized by fear and panic of confined spaces .
15	Commonly , it impairs the diary activities of many people like you .
16	Despite all of it .
17	I have a great new for you .
18	Your mother told me that you have been thinking about your job .
19	Perhaps to abandon your work is n't the best choice in this moment , I guess that you must face your fear .
20	The claustrophobia is an irrational fear of enclosed spaces .
21	The psychological symptoms are : feelings of anxiety , panic , a feeling that the situation is dangerous , an urge to look for ways out/exits , a desire to move and stay close to an exit .
22	There are too the physical symptoms : breathing problems , fainting , racing heart , shaking and sweating .
23	The best way is you look a doctor specialist in claustrophobia , he will can help you to understand that fear and treat the symptoms .
24	how are you doing ?
25	So I hurd about the other day , when you went crazy on the elavtor because of your claustrophobia , so I 'm writting for helping you to deal with this .
26	First thing that I have to say to you is : go see a doctor , who can examinate you and help to control your breathing problems , shaking and all the physical symptoms .
27	The second , but not less important is training yourself everyday , example : try to enter on the elevator and go to the next floor , do breathing exercises when you are distract and so many things .
28	Drop me a line alright ?
29	I really want to hear from you .
30	Hugs and Kisses Carol p .
31	s. : When you need , you can always call me ok ?
32	Dear Ian I think you should reconsider about your resignation .
33	So , i think you should think over before make any decisions about your work .
34	yours sensirely Ana
35	The problem you related is far from being unusual .
36	Claustrophobia is very annoying for the sufferers , and is something very treatable .
37	The symptoms are mainly the urge to look for ways out from enclosed spaces .
38	Wich includes , being in a subway , inside a building , crowded places .
39	Before quitting your job that I 'm sure you enjoy , you should make an appointment with a doctor , because this disturb can be treated .
40	There are many possibilities , one of them is a cognitive behavioral therapy .
41	This therapy aims train the patients mind towards a more positive and rational way of thinking , so they no longer feel anxious .
42	There are also some medications that can help patients manage their symptoms .
43	I suggest you going to the doctor and starting your treatment to overcome this problem , I 'm sure you will feel better and more confident to continue in your job .
44	How are you ?
45	I have known of your problem and I 'm writing to give you all my support and consideration .
46	Well , you are a great employee , you know this .
47	You always were so hard-working and compromised , so reconsider your ideia of give up of your current job .
48	I know you have claustrophobia and it 's difficult live with this condition .
49	Some symptoms are feeling of dangerous , anxiety , fainting , racing heart , shaking and a desire to move and stay close to an exit .
50	These symptoms are responsible for embarrassing situations and because of this is so necessary that you look for medical help .
51	There are many types of treatments , like medidation , breathing techniques and muscle relaxation .
52	I 'm looking forward to hearing from you !
53	If you need any help , just drop me a line !
54	I know it 's hard to face some challenges in life .
55	Claustrophobia is a serious issue and it s really hard to control this kind of felling .
56	I felt really sorry when you told me that you were quitting your job because of the office new location .
57	Every time that we 've talked about your job , you seemed to be so happy , so I was really surprised with your decision .
58	As a friend , I would recommend you to reconsider your decision and face your fear .
59	I know that it 's really hard , but you can rely on your friends to help you .
60	I know a really good psychologist .
61	If you decide to accept this challenge , it 'll be a pleasure to put you in touch with him .
62	A number of treatments and techniques are available for dealing with it !
63	There is something called Cognitive Behavioral Therapy .
64	You also can use a drug treatment from a doctor .
65	I guarentee that you will return to your normal rate !
66	Hope you feel better !
67	I was worried about your condition and I did a little research about it .
68	Now I know that claustrophobia is an irrational fear of enclosed spaces .
69	People who has this problem feels scared of being trapped , unable to scape quickly and easliy from the enclosed area .
70	There 're many places that makes you feel like this : airplanes , crowded rooms , elevators , movie theaters , etc. I know that , in this situations , you might have breathing problems , fainting , racing heart , shaking or sweating .
71	Please , dear fried .
72	do n't feel embarrassing about it , I urge to reconsider you decision and stay with us in our current job !
73	You 're doing an excellent work !
74	Claustrophobia can be cured !
75	We found a medical assistance who works with a good and easy technical .
76	They work with group of people that had the similiar problems and .
77	in a short period of time , she had chage her behaviours and tooke off his phobia .
78	I would like presents this group to you .
79	Please , think about .
80	A fraternal hug .
81	I 'm really get astonished with yours resignation letter .
82	I can understand your reasons , but I can n't loose the opportunity to try encourage you take off your problems .
83	I had in my family a similar issue .
84	My mother for long time had fears of spiders .
85	It was a big problem , because , every weekend our family was in our farm .
86	There are some spiders in there !
87	My mother had felt the same symptoms of you : racer heart and sweat .
88	She really suffered .
89	See ya soon , right ?
90	Have a good week .
91	How 's life treating you ?
92	Long time no see you .
